DATAFLOW,LAST UPDATE,freq,s_adj,nace_r2,sizeclas,indic_em,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,SI,2022-Q1,792664,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,SI,2022-Q2,798898,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,SI,2022-Q3,800152,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,SI,2022-Q4,808705,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,SK,2020-Q4,1960094,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,SK,2021-Q1,1918884,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,SK,2021-Q2,1934263,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,SK,2021-Q3,1933316,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,SK,2021-Q4,1942977,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,SK,2022-Q1,1947464,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,SK,2022-Q2,1966046,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,SK,2022-Q3,1962770,
ESTAT:JVS_Q_NACE2(1.0),22/05/23 11:00:00,Q,NSA,A-S,TOTAL,JOBOCC,SK,2022-Q4,1965490,
